age,gender,height_cm,weight_kg,activity_level,purpose,bmi,bmi_category,body_fat_pct,lean_body_mass_kg,ideal_weight_kg,weight_diff_from_ideal,target_bmi,target_weight_kg,weight_change_needed,estimated_weeks_to_goal,bmr,tdee,calorie_adjustment,calories_needed,protein_g,carbs_g,fat_g,water_ml,fiber_g,sleep_hours
64,Female,162.7,65.0,sedentary,muscle_gain,24.55,Normal,38.8,39.8,54.8,10.2,26.0,68.8,3.8,15,1203,1444,250,1700,121,198,47,2280.0,24,7.5
27,Male,172.8,87.9,very_active,weight_loss,29.44,Overweight,25.3,65.7,68.5,19.4,26.9,80.3,-7.6,11,1813,3127,-500,2646,183,332,65,3830.0,37,7.5
19,Male,170.2,79.8,very_active,maintain,27.55,Overweight,21.2,62.9,66.1,13.7,27.6,80.0,0.2,0,1755,3027,0,3056,97,453,95,3540.0,43,8.0
34,Male,168.0,54.7,sedentary,maintain,19.38,Normal,14.9,46.5,64.1,-9.4,19.4,54.8,0.1,0,1409,1691,0,1717,60,250,53,1910.0,24,7.5
62,Male,149.9,74.7,moderately_active,muscle_gain,33.24,Obese I,37.9,46.4,50.0,24.7,34.0,76.4,1.7,7,1376,2133,150,2258,164,259,63,3110.0,32,7.5
25,Female,165.4,71.2,moderately_active,maintain,26.03,Overweight,31.6,48.7,57.3,13.9,26.0,71.1,-0.1,0,1445,2240,0,2242,88,315,70,2990.0,31,8.0
35,Male,163.4,76.8,very_active,muscle_gain,28.76,Overweight,26.4,56.5,60.0,16.8,29.6,79.0,2.2,9,1608,2774,150,2962,156,400,82,3440.0,41,7.5
21,Male,168.3,57.5,lightly_active,weight_loss,20.3,Normal,13.0,50.0,64.4,-6.9,19.3,54.7,-2.8,4,1496,2057,-300,1745,134,206,43,2260.0,24,8.0
51,Female,162.6,62.4,moderately_active,weight_loss,23.6,Normal,34.6,40.8,54.7,7.7,22.6,59.8,-2.6,4,1235,1914,-400,1547,134,167,38,2680.0,22,7.5
43,Male,171.9,65.8,sedentary,muscle_gain,22.27,Normal,20.4,52.4,67.7,-1.9,24.8,73.3,7.5,30,1514,1817,350,2175,131,278,60,2300.0,30,7.5
19,Female,173.9,66.1,extra_active,weight_loss,21.86,Normal,25.2,49.4,65.0,1.1,20.9,63.2,-2.9,4,1470,2793,-300,2457,138,341,60,3310.0,34,8.0
45,Male,164.2,81.8,moderately_active,weight_loss,30.34,Obese I,30.6,56.8,60.7,21.1,27.3,73.6,-8.2,12,1613,2500,-600,1949,182,197,48,3360.0,27,7.5
60,Male,187.1,86.5,sedentary,weight_loss,24.71,Normal,27.3,62.9,81.4,5.1,23.7,83.0,-3.5,5,1735,2082,-400,1703,174,157,42,3030.0,24,7.5
26,Female,169.3,46.3,very_active,weight_loss,16.15,Moderate Thinness,20.0,37.0,60.8,-14.5,18.5,53.0,6.7,10,1206,2080,-300,1790,98,250,44,2370.0,25,7.5
38,Female,166.5,58.1,extra_active,maintain,20.96,Normal,28.5,41.5,58.3,-0.2,21.0,58.2,0.1,0,1269,2411,0,2421,66,370,75,3030.0,34,7.5
23,Female,169.6,56.0,lightly_active,muscle_gain,19.47,Normal,23.3,43.0,61.1,-5.1,22.0,63.3,7.3,29,1326,1823,500,2330,121,315,65,2210.0,33,8.0
47,Male,176.6,92.0,lightly_active,weight_loss,29.5,Overweight,30.0,64.4,71.9,20.1,27.0,84.2,-7.8,11,1781,2449,-500,1936,177,201,47,3470.0,27,7.5
35,Male,162.9,53.4,extra_active,weight_loss,20.12,Normal,16.0,44.9,59.5,-6.1,19.1,50.7,-2.7,4,1365,2594,-300,2312,115,335,57,2870.0,32,7.5
38,Female,164.1,56.1,lightly_active,weight_loss,20.83,Normal,28.3,40.2,56.1,0.0,19.8,53.3,-2.8,4,1237,1701,-300,1392,112,160,34,2210.0,19,7.5
36,Male,164.4,59.1,moderately_active,maintain,21.87,Normal,18.3,48.3,60.9,-1.8,21.9,59.2,0.1,0,1431,2218,0,2191,72,323,68,2570.0,31,7.5
23,Male,170.6,81.5,lightly_active,maintain,28.0,Overweight,22.7,63.0,66.5,15.0,28.0,81.5,0.0,0,1755,2413,0,2394,98,334,74,3100.0,34,8.0
17,Male,173.5,77.3,sedentary,muscle_gain,25.68,Overweight,18.5,63.0,69.1,8.2,27.2,81.9,4.6,18,1759,2111,250,2318,153,282,64,2710.0,32,9.0
34,Male,168.1,70.9,lightly_active,weight_loss,25.09,Overweight,21.7,55.5,64.2,6.7,23.0,65.0,-5.9,8,1584,2178,-500,1672,147,179,41,2730.0,23,7.5
31,Female,166.7,62.7,moderately_active,maintain,22.56,Normal,28.8,44.6,58.4,4.3,22.6,62.8,0.1,0,1345,2085,0,2058,74,296,64,2690.0,29,7.5
27,Male,172.6,69.5,sedentary,maintain,23.33,Normal,18.0,57.0,68.3,1.2,23.3,69.4,-0.1,0,1627,1952,0,1936,81,268,60,2430.0,27,7.5
21,Female,163.5,58.2,lightly_active,muscle_gain,21.77,Normal,25.6,43.3,55.6,2.6,24.3,65.0,6.8,27,1325,1822,350,2136,108,293,59,2290.0,30,8.0
29,Male,173.9,89.3,moderately_active,muscle_gain,29.53,Overweight,25.9,66.2,69.5,19.8,30.3,91.6,2.3,9,1824,2827,150,2938,194,356,82,3630.0,41,7.5
30,Female,161.8,45.6,lightly_active,weight_gain,17.42,Underweight,22.4,35.4,54.0,-8.4,19.9,52.1,6.5,19,1148,1578,550,2177,82,309,68,1850.0,30,7.5
67,Female,153.6,38.0,extra_active,muscle_gain,16.11,Moderate Thinness,29.3,26.9,46.6,-8.6,19.1,45.1,7.1,28,887,1685,500,2187,75,334,61,2330.0,31,7.0
16,Male,166.4,66.7,lightly_active,weight_loss,24.09,Normal,16.4,55.8,62.7,4.0,23.1,64.0,-2.7,4,1609,2212,-300,1904,138,232,47,2580.0,27,9.0
26,Female,160.1,67.9,moderately_active,muscle_gain,26.49,Overweight,32.4,45.9,52.5,15.4,27.3,70.0,2.1,8,1378,2136,250,2370,133,311,66,2880.0,33,7.5
35,Female,155.2,54.9,sedentary,weight_loss,22.79,Normal,30.0,38.4,48.0,6.9,21.8,52.5,-2.4,3,1190,1428,-400,1200,106,129,30,1920.0,17,7.5
32,Female,169.4,44.9,lightly_active,maintain,15.65,Severe Thinness,20.7,35.6,60.9,-16.0,15.6,44.8,-0.1,0,1168,1606,0,1607,50,243,50,1820.0,22,7.5
33,Female,152.7,58.0,moderately_active,maintain,24.87,Normal,32.0,39.4,45.8,12.2,24.9,58.1,0.1,0,1213,1880,0,1873,59,279,58,2530.0,26,7.5
32,Female,175.0,57.2,sedentary,weight_loss,18.68,Normal,24.4,43.2,66.0,-8.8,18.5,56.7,-0.5,1,1328,1594,-300,1304,122,132,32,2000.0,18,7.5
35,Female,162.8,46.8,sedentary,maintain,17.66,Underweight,23.8,35.7,54.9,-8.1,17.7,46.9,0.1,0,1146,1375,0,1389,60,190,43,1640.0,19,7.5
20,Male,174.5,58.7,sedentary,weight_loss,19.28,Normal,11.5,51.9,70.0,-11.3,18.5,56.3,-2.4,3,1546,1855,-300,1500,109,183,37,2050.0,21,8.0
28,Male,170.5,49.9,sedentary,weight_loss,17.17,Underweight,10.8,44.5,66.4,-16.5,18.5,53.8,3.9,6,1390,1668,-300,1369,104,164,33,1750.0,19,7.5
38,Male,178.3,75.9,sedentary,weight_loss,23.87,Normal,21.2,59.8,73.5,2.4,22.9,72.8,-3.1,4,1678,2014,-300,1724,144,192,42,2660.0,24,7.5
53,Male,172.2,65.3,extra_active,muscle_gain,22.02,Normal,22.4,50.7,67.9,-2.6,24.5,72.6,7.3,29,1468,2789,350,3133,122,466,87,3290.0,44,7.5
21,Male,176.0,56.4,sedentary,maintain,18.21,Underweight,10.5,50.5,71.4,-15.0,18.2,56.4,0.0,0,1523,1828,0,1791,73,249,56,1970.0,25,8.0
39,Male,179.5,98.8,moderately_active,weight_loss,30.66,Obese I,29.6,69.6,74.5,24.3,27.6,88.9,-9.9,14,1901,2947,-600,2338,232,224,57,3960.0,33,7.5
16,Female,165.0,53.8,lightly_active,weight_gain,19.76,Normal,22.0,42.0,56.9,-3.1,21.8,59.4,5.6,16,1308,1798,450,2245,95,309,70,2130.0,31,9.0
60,Male,180.6,80.2,extra_active,weight_gain,24.59,Normal,27.1,58.5,75.5,4.7,26.1,85.1,4.9,14,1635,3106,350,3462,121,502,108,3810.0,48,7.5
22,Male,177.5,86.4,sedentary,weight_gain,27.42,Overweight,21.8,67.6,72.7,13.7,28.4,89.5,3.1,9,1853,2224,350,2596,130,337,81,3020.0,36,8.0
32,Female,155.3,58.9,lightly_active,muscle_gain,24.42,Normal,31.3,40.5,48.1,10.8,25.9,62.5,3.6,14,1241,1706,250,1980,118,253,55,2310.0,28,7.5
29,Male,160.5,77.8,lightly_active,muscle_gain,30.2,Obese I,26.7,57.0,57.3,20.5,31.0,79.9,2.1,8,1625,2234,150,2378,170,276,66,2970.0,33,7.5
42,Female,162.3,52.7,moderately_active,weight_gain,20.01,Normal,28.3,37.8,54.5,-1.8,22.0,58.0,5.3,15,1177,1824,450,2283,75,336,71,2340.0,32,7.5
25,Male,175.5,79.8,lightly_active,maintain,25.91,Overweight,20.6,63.4,70.9,8.9,25.9,79.8,0.0,0,1761,2421,0,2418,110,326,75,3040.0,34,8.0
43,Female,172.6,71.0,moderately_active,muscle_gain,23.83,Normal,33.1,47.5,63.8,7.2,25.3,75.4,4.4,18,1406,2179,350,2552,132,346,71,2980.0,36,7.5
17,Female,160.3,64.2,very_active,weight_loss,24.98,Normal,28.5,45.9,52.7,11.5,24.0,61.7,-2.5,4,1383,2386,-400,2005,129,262,49,3000.0,28,9.0
46,Male,176.4,82.2,sedentary,weight_gain,26.42,Overweight,26.1,60.7,71.7,10.5,27.4,85.3,3.1,9,1692,2030,350,2397,124,306,75,2880.0,34,7.5
17,Male,179.1,64.5,moderately_active,maintain,20.11,Normal,11.8,56.9,74.2,-9.7,20.1,64.5,0.0,0,1650,2558,0,2553,82,378,79,2760.0,36,9.0
19,Female,164.1,83.3,lightly_active,muscle_gain,30.93,Obese I,36.1,53.2,56.1,27.2,31.7,85.4,2.1,8,1569,2157,150,2338,175,263,65,3170.0,33,8.0
28,Female,166.1,39.4,sedentary,muscle_gain,14.28,Severe Thinness,18.2,32.2,57.9,-18.5,17.3,47.7,8.3,33,1105,1326,500,1840,83,262,51,1380.0,26,7.5
48,Female,156.1,47.8,sedentary,weight_loss,19.62,Normal,29.2,33.8,48.9,-1.1,18.6,45.3,-2.5,4,1072,1286,-300,1200,88,147,30,1670.0,17,7.5
40,Female,155.1,60.0,moderately_active,muscle_gain,24.94,Normal,33.7,39.8,47.9,12.1,26.4,63.5,3.5,14,1217,1886,250,2139,110,292,59,2600.0,30,7.5
44,Male,172.2,73.0,lightly_active,weight_loss,24.62,Normal,23.5,55.8,67.9,5.1,23.6,70.0,-3.0,4,1585,2179,-300,1862,171,191,46,2800.0,26,7.5
23,Male,159.9,58.9,sedentary,weight_gain,23.04,Normal,16.7,49.1,56.8,2.1,24.5,62.6,3.7,11,1459,1751,350,2113,101,279,66,2060.0,30,8.0
27,Male,173.7,75.4,moderately_active,maintain,24.99,Normal,20.0,60.3,69.3,6.1,25.0,75.4,0.0,0,1695,2627,0,2635,103,371,82,3140.0,37,7.5
34,Female,157.0,46.7,very_active,weight_gain,18.95,Normal,25.2,34.9,49.7,-3.0,21.0,51.8,5.1,15,1120,1932,450,2380,78,350,74,2380.0,33,7.5
21,Female,162.9,64.6,sedentary,maintain,24.34,Normal,28.6,46.1,55.0,9.6,24.3,64.5,-0.1,0,1385,1662,0,1636,66,228,51,2260.0,23,8.0
41,Male,172.3,68.4,lightly_active,weight_loss,23.04,Normal,20.9,54.1,68.0,0.4,22.0,65.3,-3.1,4,1552,2134,-300,1849,151,210,45,2640.0,26,7.5
29,Male,167.4,77.8,sedentary,weight_loss,27.76,Overweight,23.8,59.3,63.6,14.2,25.3,70.9,-6.9,10,1671,2005,-500,1512,182,113,37,2720.0,21,7.5
21,Male,182.5,71.9,lightly_active,muscle_gain,21.59,Normal,14.5,61.5,77.3,-5.4,24.1,80.3,8.4,34,1735,2386,350,2703,139,368,75,2770.0,38,8.0
17,Male,174.5,73.2,lightly_active,muscle_gain,24.04,Normal,16.6,61.0,70.0,3.2,25.5,77.6,4.4,18,1721,2366,250,2632,135,359,73,2810.0,37,9.0
23,Female,166.2,65.1,sedentary,muscle_gain,23.57,Normal,28.2,46.7,58.0,7.1,25.1,69.3,4.2,17,1400,1680,350,2023,119,261,56,2280.0,28,8.0
45,Female,162.1,67.4,lightly_active,maintain,25.65,Overweight,35.7,43.3,54.3,13.1,25.6,67.3,-0.1,0,1303,1792,0,1766,70,248,55,2610.0,25,7.5
39,Female,163.8,60.0,lightly_active,muscle_gain,22.36,Normal,30.4,41.8,55.8,4.2,24.9,66.8,6.8,27,1270,1746,350,2109,110,284,59,2350.0,30,7.5
65,Male,162.9,64.0,moderately_active,muscle_gain,24.12,Normal,27.7,46.3,59.5,4.5,25.6,67.9,3.9,16,1351,2094,250,2322,130,306,64,2740.0,33,7.0
42,Male,182.3,70.1,very_active,weight_loss,21.09,Normal,18.8,56.9,77.1,-7.0,20.1,66.8,-3.3,5,1621,2796,-300,2455,136,343,60,3200.0,34,7.5
63,Female,164.7,68.0,sedentary,muscle_gain,25.07,Overweight,39.2,41.3,56.6,11.4,26.6,72.2,4.2,17,1245,1494,250,1748,124,203,49,2380.0,24,7.5
47,Female,160.9,41.7,lightly_active,maintain,16.11,Moderate Thinness,24.7,31.4,53.2,-11.5,16.1,41.7,0.0,0,1035,1423,0,1403,57,195,44,1710.0,20,7.5
48,Female,162.7,62.9,sedentary,muscle_gain,23.76,Normal,34.2,41.4,54.8,8.1,25.3,67.0,4.1,16,1253,1504,350,1860,130,218,52,2200.0,26,7.5
20,Female,167.0,63.4,extra_active,maintain,22.73,Normal,26.5,46.6,58.7,4.7,22.7,63.3,-0.1,0,1401,2662,0,2699,86,400,84,3220.0,38,8.0
33,Male,171.6,86.4,moderately_active,weight_gain,29.34,Overweight,26.6,63.4,67.4,19.0,30.3,89.2,2.8,8,1762,2731,350,3109,138,421,97,3520.0,44,7.5
34,Female,151.5,44.7,sedentary,weight_loss,19.48,Normal,25.8,33.2,45.5,-0.8,18.5,42.5,-2.2,3,1073,1288,-300,1200,104,131,30,1560.0,17,7.5
47,Male,171.7,72.2,lightly_active,weight_loss,24.49,Normal,24.0,54.9,67.5,4.7,23.5,69.3,-2.9,4,1561,2146,-300,1843,161,198,45,2780.0,26,7.5
29,Male,175.0,71.2,sedentary,maintain,23.25,Normal,18.4,58.1,70.5,0.7,23.2,71.0,-0.2,0,1649,1979,0,1932,93,255,60,2490.0,27,7.5
28,Male,173.8,57.4,moderately_active,maintain,19.0,Normal,13.0,49.9,69.4,-12.0,19.0,57.4,0.0,0,1494,2316,0,2291,65,348,71,2510.0,32,7.5
20,Male,182.6,75.0,lightly_active,weight_loss,22.49,Normal,15.4,63.4,77.3,-2.3,21.5,71.7,-3.3,5,1774,2439,-300,2165,152,270,53,2880.0,30,8.0
29,Female,155.2,40.3,moderately_active,weight_gain,16.73,Moderate Thinness,21.3,31.7,48.0,-7.7,20.2,48.7,8.4,24,1062,1646,700,2373,72,355,74,1910.0,33,7.5
21,Male,168.6,73.6,lightly_active,maintain,25.89,Overweight,19.7,59.1,64.7,8.9,25.9,73.6,0.0,0,1672,2299,0,2347,89,334,73,2830.0,33,8.0
27,Male,167.1,69.1,sedentary,weight_loss,24.75,Normal,19.7,55.5,63.3,5.8,23.8,66.5,-2.6,4,1591,1909,-300,1589,165,144,39,2420.0,22,7.5
51,Female,163.5,65.0,sedentary,weight_loss,24.32,Normal,35.5,41.9,55.6,9.4,23.3,62.3,-2.7,4,1264,1517,-400,1200,134,101,30,2280.0,17,7.5
48,Male,164.1,58.4,very_active,muscle_gain,21.69,Normal,20.9,46.2,60.6,-2.2,24.2,65.2,6.8,27,1372,2367,350,2687,126,377,75,2790.0,38,7.5
21,Male,178.8,86.1,sedentary,weight_loss,26.93,Overweight,20.9,68.1,73.9,12.2,24.4,78.0,-8.1,12,1863,2236,-500,1737,163,177,42,3010.0,24,8.0
31,Female,155.4,43.0,moderately_active,muscle_gain,17.81,Underweight,23.1,33.1,48.2,-5.2,20.8,50.2,7.2,29,1085,1682,500,2213,81,335,61,2000.0,31,7.5
43,Male,169.0,68.0,sedentary,weight_loss,23.81,Normal,22.3,52.8,65.0,3.0,22.8,65.1,-2.9,4,1520,1824,-300,1539,151,148,38,2380.0,22,7.5
22,Male,185.5,65.7,very_active,maintain,19.09,Normal,11.8,57.9,80.0,-14.3,19.1,65.7,0.0,0,1675,2889,0,2876,89,430,89,3050.0,40,8.0
39,Male,182.0,75.2,moderately_active,weight_loss,22.7,Normal,20.0,60.2,76.8,-1.6,21.7,71.9,-3.3,5,1688,2616,-300,2316,158,293,57,3130.0,32,7.5
21,Male,174.8,81.5,lightly_active,maintain,26.67,Overweight,20.6,64.7,70.3,11.2,26.7,81.6,0.1,0,1792,2464,0,2429,103,333,76,3100.0,34,8.0
18,Female,153.1,54.6,moderately_active,muscle_gain,23.29,Normal,26.7,40.0,46.1,8.5,24.8,58.1,3.5,14,1245,1930,350,2259,111,312,63,2410.0,32,8.0
18,Female,173.1,56.1,sedentary,muscle_gain,18.72,Normal,21.2,44.2,64.2,-8.1,21.7,65.0,8.9,36,1365,1638,500,2148,107,295,60,1960.0,30,8.0
60,Female,158.6,54.3,lightly_active,weight_loss,21.59,Normal,34.3,35.7,51.1,3.2,20.6,51.8,-2.5,4,1100,1512,-300,1246,126,118,30,2150.0,17,7.5
22,Female,162.5,53.4,moderately_active,maintain,20.22,Normal,23.9,40.6,54.6,-1.2,20.2,53.3,-0.1,0,1266,1962,0,1963,71,282,61,2370.0,27,8.0
19,Female,166.5,52.1,sedentary,maintain,18.79,Normal,21.5,40.9,58.3,-6.2,18.8,52.1,0.0,0,1285,1542,0,1586,60,226,49,1820.0,22,8.0
18,Male,161.2,61.2,sedentary,weight_gain,23.55,Normal,16.2,51.3,58.0,3.2,25.0,65.0,3.8,11,1512,1814,350,2200,86,311,68,2140.0,31,8.0
67,Female,155.1,77.3,moderately_active,muscle_gain,32.13,Obese I,48.6,39.7,47.9,29.4,32.9,79.1,1.8,7,1239,1920,150,2093,146,247,58,3210.0,29,7.0
29,Female,160.6,51.0,moderately_active,weight_loss,19.77,Normal,25.0,38.2,52.9,-1.9,18.8,48.5,-2.5,4,1203,1865,-300,1567,92,214,38,2280.0,22,7.5
47,Female,161.8,76.7,sedentary,weight_loss,29.3,Overweight,40.6,45.6,54.0,22.7,26.8,70.2,-6.5,9,1371,1645,-500,1200,183,80,30,2680.0,17,7.5
38,Female,153.2,52.2,extra_active,weight_gain,22.24,Normal,30.0,36.5,46.2,6.0,23.7,55.6,3.4,10,1140,2166,350,2488,90,359,77,2830.0,35,7.5
29,Male,176.1,73.7,moderately_active,weight_loss,23.77,Normal,19.0,59.7,71.5,2.2,22.8,70.7,-3.0,4,1682,2607,-300,2300,167,282,56,3080.0,32,7.5
38,Male,174.2,73.2,lightly_active,weight_loss,24.12,Normal,21.5,57.5,69.7,3.5,23.1,70.1,-3.1,4,1626,2236,-300,1887,167,201,46,2810.0,26,7.5
24,Male,184.8,59.9,lightly_active,maintain,17.54,Underweight,10.4,53.7,79.3,-19.4,17.5,59.8,-0.1,0,1595,2193,0,2171,69,321,68,2350.0,30,8.0
18,Male,180.5,77.9,lightly_active,weight_gain,23.91,Normal,16.6,65.0,75.4,2.5,25.4,82.8,4.9,14,1803,2479,350,2837,112,399,88,2980.0,40,8.0
43,Female,159.4,38.0,sedentary,maintain,14.96,Severe Thinness,22.4,29.5,51.8,-13.8,15.0,38.1,0.1,0,1003,1204,0,1205,50,170,37,1330.0,17,7.5
22,Female,159.8,56.8,moderately_active,weight_loss,22.24,Normal,26.3,41.9,52.2,4.6,21.2,54.1,-2.7,4,1287,1995,-400,1636,125,194,40,2490.0,23,8.0
48,Male,180.6,79.2,sedentary,maintain,24.28,Normal,24.0,60.2,75.5,3.7,24.3,79.3,0.1,0,1680,2016,0,1980,95,260,62,2770.0,28,7.5
29,Male,175.8,54.9,moderately_active,muscle_gain,17.76,Underweight,11.8,48.4,71.2,-16.3,20.8,64.3,9.4,38,1471,2280,500,2829,121,408,79,2420.0,40,7.5
37,Male,165.1,64.1,moderately_active,weight_loss,23.52,Normal,20.5,51.0,61.5,2.6,22.5,61.3,-2.8,4,1484,2300,-300,2007,135,256,49,2740.0,28,7.5
20,Male,187.6,76.3,very_active,weight_loss,21.68,Normal,14.4,65.3,81.9,-5.6,20.7,72.9,-3.4,5,1816,3133,-300,2849,156,399,70,3420.0,40,8.0
27,Male,167.6,62.0,sedentary,maintain,22.07,Normal,16.5,51.8,63.8,-1.8,22.1,62.1,0.1,0,1518,1822,0,1861,67,268,58,2170.0,26,7.5
59,Male,188.8,84.9,moderately_active,weight_loss,23.82,Normal,26.0,62.8,83.0,1.9,22.8,81.3,-3.6,5,1734,2688,-400,2305,171,279,56,3470.0,32,7.5
51,Female,163.4,55.7,extra_active,muscle_gain,20.86,Normal,31.4,38.2,55.5,0.2,23.4,62.5,6.8,27,1175,2232,350,2511,114,356,70,2950.0,35,7.5
40,Male,169.9,68.4,sedentary,maintain,23.7,Normal,21.4,53.8,65.8,2.6,23.7,68.4,0.0,0,1543,1852,0,1903,75,268,59,2390.0,27,7.5
32,Male,158.6,66.5,sedentary,weight_loss,26.44,Overweight,22.9,51.3,55.6,10.9,23.9,60.1,-6.4,9,1492,1790,-500,1278,136,114,31,2330.0,18,7.5
19,Female,165.7,56.9,sedentary,weight_loss,20.72,Normal,23.8,43.4,57.5,-0.6,19.7,54.1,-2.8,4,1332,1598,-300,1285,111,140,31,1990.0,18,8.0
34,Male,163.9,61.6,sedentary,weight_loss,22.93,Normal,19.1,49.8,60.4,1.2,21.9,58.8,-2.8,4,1463,1756,-300,1479,145,144,36,2160.0,21,7.5
32,Female,163.1,64.0,lightly_active,weight_loss,24.06,Normal,30.8,44.3,55.2,8.8,23.1,61.4,-2.6,4,1334,1834,-400,1411,148,128,34,2490.0,20,7.5
22,Female,172.6,84.5,very_active,muscle_gain,28.36,Overweight,33.7,56.0,63.8,20.7,29.2,87.0,2.5,10,1623,2800,150,2961,156,400,82,3710.0,41,8.0
19,Male,166.6,60.5,moderately_active,weight_loss,21.8,Normal,14.3,51.8,62.9,-2.4,20.8,57.7,-2.8,4,1529,2370,-300,2018,142,252,49,2620.0,28,8.0
17,Male,178.8,54.9,sedentary,weight_loss,17.17,Underweight,8.3,50.3,73.9,-19.0,18.5,59.1,4.2,6,1534,1841,-300,1539,121,178,38,1920.0,22,9.0
68,Male,166.0,60.8,lightly_active,muscle_gain,22.06,Normal,25.9,45.1,62.3,-1.5,24.6,67.8,7.0,28,1324,1820,350,2180,122,286,61,2380.0,31,7.0
21,Male,181.4,80.1,very_active,maintain,24.34,Normal,17.8,65.8,76.3,3.8,24.3,80.0,-0.1,0,1817,3134,0,3113,82,478,97,3550.0,44,8.0
29,Male,174.4,84.3,lightly_active,muscle_gain,27.72,Overweight,23.7,64.3,69.9,14.4,28.5,86.7,2.4,10,1779,2446,150,2573,168,316,71,3200.0,36,7.5
23,Female,160.9,47.1,sedentary,weight_gain,18.19,Underweight,21.7,36.9,53.2,-6.1,20.7,53.6,6.5,19,1187,1424,550,1998,77,283,62,1650.0,28,8.0
18,Male,181.8,73.9,extra_active,weight_loss,22.36,Normal,14.8,63.0,76.6,-2.7,21.4,70.7,-3.2,5,1766,3355,-300,3055,169,426,75,3590.0,43,8.0
